property_type,price,location,city,baths,purpose,bedrooms,area_m2,Cluster
House,200000,E-7,Islamabad,3,For Rent,2,303.0,Large Luxury Properties
House,16500000,Gadap Town,Karachi,5,For Sale,3,243.0,Large Luxury Properties
House,7000000,Makkah Garden,Faisalabad,4,For Sale,3,76.0,Large Luxury Properties
House,15000000,Bahria Town Karachi,Karachi,3,For Sale,3,154.0,Large Luxury Properties
House,16500000,Wapda Town,Lahore,5,For Sale,4,253.0,Large Luxury Properties
House,2300000,Landhi,Karachi,2,For Sale,2,81.0,Large Luxury Properties
House,13800000,Bahria Town Rawalpindi,Rawalpindi,5,For Sale,5,177.0,Large Luxury Properties
Flat,5000000,Gulistan-e-Jauhar,Karachi,2,For Sale,2,86.0,Medium Affordable Properties
House,13300000,Bahria Town Karachi,Karachi,3,For Sale,3,202.0,Large Luxury Properties
Upper Portion,2500000,Liaquatabad,Karachi,1,For Sale,1,46.0,Cheap Affordable Properties
Upper Portion,6500000,Gulshan-e-Iqbal Town,Karachi,3,For Sale,4,101.0,Cheap Affordable Properties
Flat,12500000,Federal B Area,Karachi,2,For Sale,2,134.0,Medium Affordable Properties
House,14700000,Bahria Town Karachi,Karachi,3,For Sale,3,154.0,Large Luxury Properties
Lower Portion,28000,G-11,Islamabad,2,For Rent,2,111.0,Cheap Affordable Properties
Lower Portion,34000,G-11,Islamabad,2,For Rent,2,142.0,Cheap Affordable Properties
House,3700000,Green Town,Faisalabad,3,For Sale,2,63.0,Large Luxury Properties
House,22500000,Bahria Town Rawalpindi,Rawalpindi,6,For Sale,5,253.0,Large Luxury Properties
Flat,22500000,Askari,Lahore,6,For Sale,4,336.0,Medium Affordable Properties
House,25000000,State Life Housing Society,Lahore,5,For Sale,4,253.0,Large Luxury Properties
Lower Portion,40000,Asghar Mall Road,Rawalpindi,4,For Rent,5,253.0,Cheap Affordable Properties
Flat,31000,Farooq-e-Azam Road,Rawalpindi,2,For Rent,2,91.0,Medium Affordable Properties
House,25000000,DHA Defence,Lahore,5,For Sale,4,253.0,Large Luxury Properties
Upper Portion,28000,North Nazimabad,Karachi,2,For Rent,2,121.0,Cheap Affordable Properties
Flat,27000,Bahria Town Rawalpindi,Rawalpindi,2,For Rent,2,96.0,Medium Affordable Properties
House,12000000,Lake City,Lahore,4,For Sale,3,126.0,Large Luxury Properties
House,27500000,Bahria Town Rawalpindi,Rawalpindi,6,For Sale,5,253.0,Large Luxury Properties
House,11000000,Sabzazar Scheme,Lahore,3,For Sale,6,101.0,Large Luxury Properties
House,10500000,Ravi Gardens,Faisalabad,6,For Sale,5,202.0,Large Luxury Properties
Flat,80000,DHA Defence,Karachi,3,For Rent,3,197.0,Medium Affordable Properties
House,19900000,Township,Lahore,4,For Sale,5,126.0,Large Luxury Properties
House,14000000,Mangral Town,Rawalpindi,6,For Sale,6,253.0,Large Luxury Properties
House,60000,Scheme 33,Karachi,5,For Rent,4,121.0,Large Luxury Properties
House,15200000,Bahria Town Karachi,Karachi,3,For Sale,3,154.0,Large Luxury Properties
Lower Portion,37000,Satellite Town,Rawalpindi,2,For Rent,2,126.0,Cheap Affordable Properties
House,9500000,Bahria Town,Lahore,3,For Sale,3,126.0,Large Luxury Properties
Lower Portion,47000,Gulistan-e-Jauhar,Karachi,3,For Rent,3,243.0,Cheap Affordable Properties
House,65000,Bahria Town Rawalpindi,Rawalpindi,6,For Rent,5,253.0,Large Luxury Properties
Flat,24000000,Gulshan-e-Iqbal Town,Karachi,3,For Sale,3,162.0,Medium Affordable Properties
Lower Portion,15500000,Gulistan-e-Jauhar,Karachi,4,For Sale,4,243.0,Cheap Affordable Properties
House,12500000,Malir,Karachi,2,For Sale,2,121.0,Large Luxury Properties
House,26500000,DHA Defence,Lahore,5,For Sale,4,253.0,Large Luxury Properties
Flat,150000,Diplomatic Enclave,Islamabad,2,For Rent,1,152.0,Medium Affordable Properties
Flat,36000,E-11,Islamabad,3,For Rent,3,111.0,Medium Affordable Properties
House,24000000,Wapda Town,Lahore,5,For Sale,5,253.0,Large Luxury Properties
Flat,3300000,Bahria Town Rawalpindi,Rawalpindi,2,For Sale,2,78.0,Medium Affordable Properties
House,9900000,B-17,Islamabad,4,For Sale,3,126.0,Large Luxury Properties
Flat,125000,Bath Island,Karachi,3,For Rent,3,225.0,Medium Affordable Properties
House,2290000,Sharaqpur Road,Lahore,2,For Sale,2,76.0,Large Luxury Properties
House,7000000,Elite Town,Lahore,5,For Sale,4,126.0,Large Luxury Properties
House,13500000,Afshan Colony,Rawalpindi,6,For Sale,4,152.0,Large Luxury Properties
Upper Portion,27000,North Karachi,Karachi,2,For Rent,2,121.0,Cheap Affordable Properties
Flat,16000000,E-11,Islamabad,5,For Sale,5,177.0,Medium Affordable Properties
House,6000000,Sher Shah Road,Lahore,3,For Sale,3,76.0,Large Luxury Properties
Flat,30000000,Clifton,Karachi,4,For Sale,3,253.0,Medium Affordable Properties
Lower Portion,20000,Ghauri Town,Islamabad,3,For Rent,2,126.0,Cheap Affordable Properties
House,13300000,Tariq Gardens,Lahore,3,For Sale,3,126.0,Large Luxury Properties
House,28000000,North Nazimabad,Karachi,4,For Sale,5,228.0,Large Luxury Properties
House,15000000,Scheme 33,Karachi,6,For Sale,6,81.0,Large Luxury Properties
Flat,17000,Bahria Town Rawalpindi,Rawalpindi,1,For Rent,2,126.0,Medium Affordable Properties
House,27000000,G-11,Islamabad,4,For Sale,4,202.0,Large Luxury Properties
Flat,9000000,Gulistan-e-Jauhar,Karachi,3,For Sale,2,169.0,Medium Affordable Properties
House,9500000,Chaklala Scheme,Rawalpindi,4,For Sale,4,126.0,Large Luxury Properties
